Date,AB,Cumulative,Deaths,Recoveries
2020-03-05,1,1,0,0
2020-03-06,1,2,0,0
2020-03-07,,2,0,0
2020-03-08,2,4,0,0
2020-03-09,3,7,0,0
2020-03-10,7,14,0,0
2020-03-11,5,19,0,0
2020-03-12,4,23,0,0
2020-03-13,6,29,0,0
2020-03-14,10,39,0,0
2020-03-15,17,56,0,0
2020-03-16,18,74,0,0
2020-03-17,23,97,0,0
2020-03-18,22,119,0,0
2020-03-19,27,146,1,0
2020-03-20,49,195,0,3
2020-03-21,31,226,0,0
2020-03-22,33,259,0,0
2020-03-23,42,301,0,0
2020-03-24,57,358,1,0
2020-03-25,61,419,0,0
2020-03-26,67,486,0,24
2020-03-27,56,542,0,6
2020-03-28,79,621,0,20
2020-03-29,40,661,1,20
