ID,Age,Gender,Military,Citizenship
1,2.0,2.0,,1.0
2,77.0,1.0,1.0,1.0
3,95.0,2.0,,2.0
4,1.0,1.0,,1.0
5,49.0,1.0,1.0,1.0
6,19.0,2.0,2.0,1.0
7,59.0,2.0,2.0,1.0
8,13.0,1.0,,1.0
9,11.0,2.0,,1.0
10,43.0,1.0,1.0,1.0
11,15.0,1.0,,1.0
12,37.0,1.0,1.0,1.0
13,70.0,1.0,2.0,1.0
14,81.0,1.0,1.0,1.0
15,38.0,2.0,2.0,1.0
16,85.0,2.0,2.0,1.0
17,2.0,1.0,,1.0
18,1.0,2.0,,1.0
19,0.0,1.0,,1.0
20,23.0,2.0,2.0,1.0
21,18.0,1.0,2.0,1.0
22,13.0,2.0,,1.0
23,12.0,2.0,,1.0
24,53.0,2.0,2.0,1.0
25,42.0,2.0,2.0,1.0
26,14.0,2.0,,1.0
27,18.0,1.0,2.0,2.0
28,18.0,1.0,2.0,1.0
29,62.0,1.0,1.0,1.0
30,7.0,2.0,,1.0
31,15.0,2.0,,1.0
32,10.0,1.0,,1.0
33,46.0,1.0,2.0,1.0
34,38.0,2.0,2.0,1.0
35,2.0,1.0,,1.0
36,6.0,2.0,,1.0
37,1.0,1.0,,1.0
38,1.0,1.0,,1.0
39,7.0,1.0,,1.0
40,68.0,2.0,2.0,1.0
41,2.0,1.0,,1.0
42,18.0,2.0,2.0,1.0
43,6.0,2.0,,1.0
44,15.0,2.0,,1.0
45,33.0,2.0,2.0,1.0
46,85.0,2.0,2.0,1.0
47,16.0,2.0,,1.0
48,0.0,2.0,,1.0
49,12.0,1.0,,1.0
50,1.0,2.0,,1.0
51,0.0,2.0,,1.0
52,19.0,2.0,2.0,2.0
53,18.0,2.0,2.0,2.0
54,2.0,1.0,,1.0
55,61.0,2.0,2.0,1.0
56,21.0,1.0,2.0,1.0
57,,1.0,,1.0
58,18.0,2.0,2.0,2.0
59,70.0,1.0,1.0,1.0
60,5.0,1.0,,1.0
61,4.0,1.0,,1.0
62,17.0,2.0,2.0,2.0
63,0.0,2.0,,1.0
64,63.0,2.0,2.0,1.0
65,9.0,1.0,,1.0
66,37.0,1.0,2.0,1.0
67,13.0,1.0,,1.0
68,19.0,2.0,2.0,1.0
69,27.0,1.0,2.0,1.0
70,3.0,2.0,,1.0
71,69.0,1.0,1.0,1.0
72,15.0,2.0,,1.0
73,7.0,2.0,,1.0
74,13.0,2.0,,1.0
75,8.0,1.0,,1.0
76,13.0,2.0,,2.0
77,25.0,1.0,2.0,1.0
78,10.0,1.0,,1.0
79,,2.0,,1.0
80,75.0,2.0,2.0,1.0
81,30.0,1.0,1.0,1.0
82,3.0,2.0,,1.0
83,60.0,2.0,2.0,1.0
84,14.0,1.0,,1.0
85,18.0,1.0,2.0,2.0
86,63.0,2.0,2.0,1.0
87,14.0,2.0,,1.0
88,19.0,2.0,2.0,1.0
89,3.0,1.0,,1.0
90,61.0,1.0,1.0,1.0
91,17.0,1.0,2.0,1.0
92,31.0,1.0,2.0,1.0
93,63.0,2.0,2.0,1.0
94,61.0,2.0,2.0,1.0
95,45.0,2.0,2.0,2.0
96,43.0,2.0,2.0,1.0
97,32.0,1.0,1.0,1.0
98,62.0,2.0,2.0,1.0
99,0.0,2.0,,1.0
100,14.0,2.0,,1.0
101,52.0,1.0,2.0,1.0
102,41.0,2.0,2.0,2.0
103,3.0,2.0,,1.0
104,3.0,2.0,,1.0
105,37.0,2.0,2.0,1.0
106,39.0,1.0,2.0,2.0
107,30.0,2.0,2.0,7.0
108,22.0,1.0,2.0,1.0
109,11.0,2.0,,1.0
110,13.0,1.0,,1.0
111,14.0,2.0,,1.0
112,16.0,1.0,,1.0
113,27.0,1.0,2.0,1.0
114,14.0,1.0,,1.0
115,59.0,2.0,2.0,1.0
116,5.0,2.0,,1.0
117,34.0,1.0,2.0,1.0
118,85.0,1.0,2.0,1.0
119,0.0,1.0,,1.0
120,30.0,2.0,2.0,1.0
121,38.0,1.0,2.0,2.0
122,64.0,1.0,2.0,1.0
123,76.0,1.0,1.0,1.0
124,15.0,1.0,,1.0
125,39.0,2.0,2.0,1.0
126,33.0,2.0,2.0,1.0
127,33.0,2.0,2.0,1.0
128,8.0,2.0,,2.0
129,63.0,2.0,2.0,1.0
130,59.0,1.0,2.0,1.0
131,56.0,1.0,1.0,1.0
132,41.0,2.0,2.0,1.0
133,1.0,2.0,,1.0
134,74.0,1.0,1.0,1.0
135,9.0,1.0,,1.0
136,53.0,1.0,2.0,1.0
137,48.0,1.0,2.0,1.0
138,14.0,2.0,,1.0
139,12.0,2.0,,1.0
140,12.0,2.0,,1.0
141,35.0,2.0,2.0,1.0
142,14.0,2.0,,1.0
143,22.0,2.0,2.0,2.0
144,13.0,2.0,,2.0
145,16.0,1.0,,1.0
146,14.0,2.0,,1.0
147,,1.0,,1.0
148,77.0,1.0,2.0,2.0
149,40.0,2.0,2.0,1.0
150,65.0,1.0,2.0,1.0
151,,1.0,,1.0
152,4.0,2.0,,1.0
153,44.0,1.0,2.0,1.0
154,8.0,2.0,,9.0
155,3.0,2.0,,1.0
156,22.0,1.0,2.0,1.0
157,3.0,1.0,,1.0
158,29.0,1.0,2.0,2.0
159,6.0,2.0,,1.0
160,,1.0,,1.0
161,18.0,1.0,2.0,1.0
162,63.0,1.0,1.0,1.0
163,63.0,2.0,2.0,1.0
164,51.0,1.0,1.0,1.0
165,9.0,2.0,,1.0
166,41.0,1.0,2.0,1.0
167,32.0,2.0,2.0,1.0
168,65.0,2.0,2.0,1.0
169,23.0,2.0,2.0,2.0
170,28.0,1.0,2.0,1.0
171,36.0,1.0,2.0,1.0
172,41.0,1.0,1.0,1.0
173,82.0,2.0,2.0,1.0
174,2.0,1.0,,1.0
175,19.0,1.0,2.0,1.0
176,0.0,1.0,,1.0
177,55.0,2.0,2.0,1.0
178,60.0,2.0,2.0,1.0
179,49.0,2.0,2.0,1.0
180,6.0,1.0,,1.0
181,14.0,1.0,,1.0
182,10.0,1.0,,1.0
183,21.0,1.0,2.0,2.0
184,31.0,2.0,2.0,1.0
185,8.0,1.0,,1.0
186,18.0,1.0,2.0,1.0
187,71.0,2.0,2.0,1.0
188,38.0,2.0,2.0,1.0
189,75.0,2.0,2.0,1.0
190,65.0,1.0,2.0,1.0
191,69.0,1.0,2.0,1.0
192,30.0,2.0,2.0,1.0
193,38.0,2.0,2.0,1.0
194,44.0,2.0,2.0,2.0
195,64.0,2.0,2.0,1.0
196,19.0,2.0,2.0,1.0
197,74.0,1.0,2.0,2.0
198,49.0,2.0,2.0,1.0
199,38.0,2.0,2.0,1.0
200,5.0,2.0,,1.0
201,14.0,2.0,,2.0
202,10.0,1.0,,1.0
203,7.0,1.0,,1.0
204,5.0,2.0,,1.0
205,40.0,1.0,2.0,1.0
206,50.0,2.0,2.0,1.0
207,3.0,2.0,,1.0
208,1.0,2.0,,1.0
209,18.0,1.0,2.0,1.0
210,2.0,1.0,,1.0
211,76.0,1.0,1.0,1.0
212,6.0,1.0,,1.0
213,18.0,2.0,2.0,2.0
214,11.0,2.0,,1.0
215,38.0,1.0,2.0,2.0
216,85.0,2.0,2.0,1.0
217,18.0,2.0,2.0,1.0
218,3.0,2.0,,1.0
219,16.0,1.0,,1.0
220,15.0,2.0,,1.0
221,85.0,1.0,2.0,1.0
222,5.0,1.0,,1.0
223,47.0,1.0,2.0,2.0
224,11.0,1.0,,1.0
225,,1.0,,1.0
226,6.0,2.0,,1.0
227,13.0,2.0,,1.0
228,19.0,1.0,2.0,1.0
229,14.0,2.0,,2.0
230,3.0,2.0,,1.0
231,12.0,2.0,,2.0
232,57.0,2.0,2.0,1.0
233,82.0,2.0,2.0,1.0
234,69.0,2.0,2.0,1.0
235,2.0,2.0,,1.0
236,45.0,2.0,2.0,1.0
237,81.0,2.0,2.0,1.0
238,0.0,1.0,,1.0
239,69.0,2.0,2.0,1.0
240,1.0,1.0,,1.0
241,0.0,2.0,,1.0
242,19.0,1.0,2.0,2.0
243,19.0,2.0,2.0,1.0
244,18.0,2.0,2.0,1.0
245,19.0,1.0,2.0,1.0
246,6.0,1.0,,1.0
247,6.0,1.0,,1.0
248,19.0,2.0,2.0,1.0
249,19.0,1.0,2.0,7.0
250,58.0,2.0,2.0,1.0
251,10.0,1.0,,1.0
252,9.0,2.0,,1.0
253,5.0,2.0,,1.0
254,15.0,2.0,,2.0
255,18.0,2.0,2.0,1.0
256,19.0,1.0,2.0,2.0
257,75.0,1.0,1.0,1.0
258,3.0,2.0,,1.0
259,54.0,1.0,1.0,1.0
260,27.0,1.0,2.0,2.0
261,59.0,2.0,2.0,2.0
262,,2.0,,1.0
263,17.0,2.0,2.0,1.0
264,15.0,2.0,,2.0
265,34.0,2.0,2.0,1.0
266,82.0,1.0,1.0,1.0
267,54.0,1.0,2.0,1.0
268,30.0,1.0,2.0,2.0
269,31.0,1.0,1.0,1.0
270,35.0,1.0,1.0,1.0
271,8.0,2.0,,1.0
272,56.0,1.0,2.0,1.0
273,64.0,2.0,2.0,1.0
274,69.0,2.0,2.0,1.0
275,72.0,1.0,1.0,1.0
276,15.0,1.0,,2.0
277,18.0,1.0,2.0,1.0
278,9.0,2.0,,1.0
279,19.0,1.0,2.0,2.0
280,69.0,1.0,2.0,1.0
281,15.0,2.0,,1.0
282,29.0,1.0,2.0,2.0
283,16.0,2.0,,1.0
284,19.0,2.0,2.0,1.0
285,18.0,2.0,2.0,1.0
286,2.0,2.0,,1.0
287,71.0,2.0,2.0,1.0
288,9.0,1.0,,1.0
289,62.0,1.0,1.0,1.0
290,4.0,1.0,,1.0
291,19.0,1.0,2.0,1.0
292,4.0,2.0,,1.0
293,85.0,2.0,2.0,1.0
294,15.0,1.0,,1.0
295,,1.0,,2.0
296,57.0,1.0,1.0,1.0
297,17.0,1.0,2.0,1.0
298,2.0,1.0,,1.0
299,8.0,2.0,,1.0
300,21.0,2.0,2.0,1.0
301,24.0,2.0,2.0,2.0
302,65.0,2.0,2.0,1.0
303,17.0,1.0,2.0,1.0
304,60.0,1.0,2.0,1.0
305,3.0,2.0,,1.0
306,12.0,1.0,,2.0
307,29.0,2.0,2.0,1.0
308,4.0,1.0,,1.0
309,0.0,1.0,,1.0
310,65.0,1.0,2.0,1.0
311,6.0,1.0,,1.0
312,15.0,1.0,,1.0
313,5.0,2.0,,1.0
314,52.0,2.0,2.0,1.0
315,14.0,1.0,,1.0
316,18.0,1.0,2.0,2.0
317,6.0,1.0,,1.0
318,0.0,1.0,,1.0
319,0.0,1.0,,1.0
320,26.0,1.0,2.0,1.0
321,71.0,2.0,2.0,1.0
322,5.0,2.0,,1.0
323,15.0,1.0,,1.0
324,24.0,1.0,2.0,1.0
325,0.0,1.0,,1.0
326,2.0,1.0,,1.0
327,16.0,1.0,,1.0
328,66.0,1.0,2.0,1.0
329,27.0,2.0,2.0,1.0
330,56.0,1.0,2.0,1.0
331,37.0,2.0,2.0,2.0
332,71.0,1.0,2.0,1.0
333,42.0,1.0,2.0,1.0
334,58.0,2.0,2.0,1.0
335,18.0,1.0,2.0,1.0
336,13.0,2.0,,1.0
337,18.0,2.0,2.0,1.0
338,12.0,1.0,,1.0
339,50.0,1.0,2.0,2.0
340,72.0,1.0,1.0,1.0
341,16.0,1.0,,1.0
342,2.0,2.0,,1.0
343,13.0,1.0,,1.0
344,26.0,1.0,2.0,1.0
345,1.0,2.0,,1.0
346,15.0,1.0,,1.0
347,10.0,2.0,,1.0
348,13.0,1.0,,1.0
349,12.0,1.0,,1.0
350,56.0,2.0,2.0,1.0
351,70.0,1.0,1.0,1.0
352,82.0,1.0,1.0,1.0
353,3.0,1.0,,1.0
354,1.0,1.0,,1.0
355,1.0,1.0,,1.0
356,8.0,2.0,,1.0
357,9.0,2.0,,1.0
358,48.0,2.0,2.0,1.0
359,42.0,2.0,2.0,1.0
360,85.0,1.0,2.0,1.0
361,16.0,1.0,,1.0
362,13.0,2.0,,1.0
363,4.0,1.0,,1.0
364,0.0,2.0,,1.0
365,48.0,1.0,2.0,1.0
366,4.0,2.0,,1.0
367,14.0,1.0,,1.0
368,72.0,1.0,2.0,2.0
369,5.0,1.0,,1.0
370,0.0,2.0,,1.0
371,5.0,2.0,,1.0
372,70.0,1.0,1.0,1.0
373,8.0,2.0,,1.0
374,53.0,2.0,2.0,1.0
375,1.0,1.0,,1.0
376,8.0,1.0,,1.0
377,3.0,1.0,,1.0
378,9.0,2.0,,1.0
379,7.0,2.0,,1.0
380,42.0,1.0,2.0,1.0
381,14.0,2.0,,1.0
382,80.0,2.0,2.0,1.0
383,72.0,2.0,2.0,1.0
384,8.0,1.0,,2.0
385,,1.0,,1.0
386,85.0,2.0,2.0,1.0
387,1.0,1.0,,1.0
388,24.0,1.0,2.0,1.0
389,81.0,2.0,2.0,1.0
390,12.0,1.0,,2.0
391,6.0,2.0,,1.0
392,77.0,1.0,2.0,1.0
393,76.0,2.0,2.0,1.0
394,11.0,1.0,,1.0
395,,1.0,,1.0
396,16.0,2.0,,1.0
397,23.0,2.0,2.0,1.0
398,16.0,1.0,,1.0
399,38.0,2.0,2.0,1.0
400,15.0,1.0,,1.0
401,15.0,2.0,,2.0
402,85.0,2.0,2.0,1.0
403,71.0,2.0,2.0,1.0
404,6.0,1.0,,1.0
405,14.0,2.0,,1.0
406,26.0,2.0,2.0,1.0
407,21.0,1.0,2.0,1.0
408,15.0,2.0,,1.0
409,14.0,1.0,,2.0
410,70.0,2.0,2.0,1.0
411,16.0,2.0,,1.0
412,85.0,1.0,1.0,1.0
413,0.0,1.0,,1.0
414,18.0,1.0,2.0,2.0
415,3.0,2.0,,1.0
416,72.0,2.0,2.0,1.0
417,19.0,2.0,2.0,1.0
418,9.0,1.0,,1.0
419,66.0,1.0,2.0,1.0
420,2.0,1.0,,1.0
421,70.0,1.0,2.0,2.0
422,1.0,2.0,,1.0
423,13.0,2.0,,1.0
424,69.0,2.0,2.0,1.0
425,0.0,2.0,,1.0
426,45.0,2.0,2.0,1.0
427,12.0,1.0,,2.0
428,6.0,1.0,,1.0
429,43.0,1.0,2.0,1.0
430,32.0,1.0,2.0,1.0
431,14.0,2.0,,1.0
432,26.0,2.0,2.0,2.0
433,12.0,1.0,,1.0
434,58.0,1.0,1.0,1.0
435,10.0,1.0,,1.0
436,84.0,1.0,2.0,1.0
437,56.0,2.0,2.0,1.0
438,19.0,2.0,2.0,1.0
439,30.0,1.0,2.0,1.0
440,3.0,1.0,,1.0
441,1.0,1.0,,1.0
442,49.0,1.0,2.0,2.0
443,53.0,1.0,2.0,2.0
444,1.0,2.0,,1.0
445,7.0,2.0,,1.0
446,32.0,1.0,2.0,2.0
447,65.0,1.0,1.0,1.0
448,10.0,2.0,,2.0
449,6.0,1.0,,1.0
450,10.0,2.0,,1.0
451,84.0,2.0,2.0,1.0
452,81.0,1.0,1.0,1.0
453,53.0,2.0,2.0,1.0
454,1.0,1.0,,1.0
455,1.0,1.0,,1.0
456,2.0,2.0,,2.0
457,13.0,2.0,,1.0
458,76.0,2.0,2.0,1.0
459,78.0,2.0,2.0,1.0
460,25.0,2.0,2.0,1.0
461,24.0,1.0,1.0,1.0
462,0.0,1.0,,1.0
463,34.0,2.0,2.0,2.0
464,5.0,2.0,,1.0
465,61.0,1.0,2.0,1.0
466,48.0,1.0,1.0,1.0
